instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
SPL.WA,0.011385431188062727,,,,,,,0.011385431188062727,548,222,326,0,6.239216291058374,40.51094890510949
XLV,0.01013088519950739,,,,,,,0.01013088519950739,742,301,441,0,7.517116818034484,40.56603773584906
OPL.WA,0.010080316469499275,,,,,,,0.010080316469499275,599,244,355,0,6.038109565230066,40.73455759599332
KO,0.00846584229385979,,,,,,,0.00846584229385979,991,401,590,0,8.389649713215052,40.46417759838547
HG=F,0.008286554397220008,,,,,,,0.008286554397220008,1247,511,735,1,10.33333333333335,40.97834803528468
EWL,0.008136346437271607,,,,,,,0.008136346437271607,1368,557,811,0,11.130521926187559,40.716374269005854
^RUT,0.007102993404363374,,,,,,,0.007102993404363374,1314,529,784,1,9.333333333333472,40.25875190258752
GLD,0.007002512613312128,,,,,,,0.007002512613312128,976,397,579,0,6.834452310592638,40.67622950819672
VEA,0.0061302681992339856,,,,,,,0.0061302681992339856,870,353,516,1,5.3333333333335675,40.57471264367816
^DJI,0.005579137968660536,,,,,,,0.005579137968660536,913,366,547,0,5.093752965387069,40.08762322015334
DBA,0.005351806254262811,,,,,,,0.005351806254262811,699,283,416,0,3.740912571729705,40.486409155937054
MFO.WA,0.004368924262189476,,,,,,,0.004368924262189476,398,165,233,0,1.7388318563514114,41.45728643216081
EWI,0.0037537537537537715,,,,,,,0.0037537537537537715,1776,725,1050,1,6.666666666666698,40.822072072072075
^FTSE,0.003086268515058379,,,,,,,0.003086268515058379,1168,470,698,0,3.6047616255881865,40.23972602739726
EWZ,0.0025220947892841427,,,,,,,0.0025220947892841427,969,389,580,0,2.4439098508163344,40.14447884416924
BHP,0.0022829019323413104,,,,,,,0.0022829019323413104,2570,1053,1517,0,5.867057966117168,40.97276264591439
C,0.0015763537621063567,,,,,,,0.0015763537621063567,1142,459,683,0,1.8001959963254595,40.19264448336252
DBB,0.000980269954894281,,,,,,,0.000980269954894281,1021,415,606,0,1.000855623947061,40.646425073457394
T,0.0006903014421912023,,,,,,,0.0006903014421912023,1105,451,654,0,0.7627830936212786,40.81447963800905
EEM,0.00027434842249668076,,,,,,,0.00027434842249668076,1215,493,721,1,0.33333333333346715,40.5761316872428
CRM,-0.00040357596278474617,,,,,,,-0.00040357596278474617,625,253,372,0,-0.25223497674046635,40.48
NKE,-0.0006238219572853936,,,,,,,-0.0006238219572853936,1182,472,710,0,-0.7373575535113353,39.93231810490694
V,-0.0010366955299035913,,,,,,,-0.0010366955299035913,460,184,276,0,-0.47687994375565196,40.0
BAYN.DE,-0.001846197167114033,,,,,,,-0.001846197167114033,776,309,467,0,-1.4326490016804896,39.819587628865975
BND,-0.0030692815932896527,,,,,,,-0.0030692815932896527,625,245,380,0,-1.918300995806033,39.2
NESN.SW,-0.003116989438398609,,,,,,,-0.003116989438398609,3539,234,364,2941,-11.031025622492677,6.612037298671941
HO=F,-0.004589787722317733,,,,,,,-0.004589787722317733,581,230,350,1,-2.666666666666603,39.586919104991395
HYG,-0.004690454871882074,,,,,,,-0.004690454871882074,585,226,359,0,-2.7439161000510133,38.63247863247864
CPS.WA,-0.006405658750668646,,,,,,,-0.006405658750668646,367,147,220,0,-2.350876761495393,40.05449591280654
SLV,-0.006612552599225259,,,,,,,-0.006612552599225259,891,359,532,0,-5.891784365909706,40.29180695847362
PKO.WA,-0.007900557486457849,,,,,,,-0.007900557486457849,473,188,285,0,-3.7369636910945623,39.74630021141649
LIN,-0.008712121212121109,,,,,,,-0.008712121212121109,880,354,525,1,-7.6666666666665755,40.22727272727273
TLT,-0.009003129450357805,,,,,,,-0.009003129450357805,956,382,574,0,-8.606991754542062,39.9581589958159
ZW=F,-0.009346928284873908,,,,,,,-0.009346928284873908,1141,465,676,0,-10.66484517304113,40.753724802804555
MBK.WA,-0.010157733446896165,,,,,,,-0.010157733446896165,718,285,433,0,-7.293252614871446,39.693593314763234
NOVN.SW,-0.0105708245243128,,,,,,,-0.0105708245243128,946,377,568,1,-9.999999999999908,39.85200845665962
XLF,-0.011968194112814011,,,,,,,-0.011968194112814011,767,305,462,0,-9.179604884528347,39.765319426336376
SBUX,-0.012075080034367674,,,,,,,-0.012075080034367674,822,324,498,0,-9.925715788250228,39.416058394160586
PG,-0.014324540439746786,,,,,,,-0.014324540439746786,906,355,551,0,-12.978033638410588,39.18322295805739
ATT.WA,-0.014551206681505027,,,,,,,-0.014551206681505027,475,188,287,0,-6.911823173714888,39.578947368421055
^GSPC,-0.017665797856935804,,,,,,,-0.017665797856935804,1151,451,699,1,-20.333333333333112,39.18331885317116
RB=F,-0.01878715754633034,,,,,,,-0.01878715754633034,674,254,394,26,-12.66254418622665,37.68545994065282
MCD,-0.02001133308763377,,,,,,,-0.02001133308763377,1034,409,625,0,-20.69171841261332,39.55512572533849
EWT,-0.02041722148246765,,,,,,,-0.02041722148246765,1502,599,902,1,-30.66666666666641,39.88015978695073
ING.WA,-0.020463469584808474,,,,,,,-0.020463469584808474,650,253,397,0,-13.30125523012551,38.92307692307692
KC=F,-0.0206112295664535,,,,,,,-0.0206112295664535,938,375,562,1,-19.333333333333382,39.97867803837953
PKP.WA,-0.022064054030363985,,,,,,,-0.022064054030363985,269,105,164,0,-5.935230534167912,39.03345724907063
VT,-0.022646235879979926,,,,,,,-0.022646235879979926,665,260,405,0,-15.059746860186651,39.097744360902254
IEMG,-0.02276422764227653,,,,,,,-0.02276422764227653,820,325,494,1,-18.666666666666753,39.63414634146341
EWH,-0.025720164609053273,,,,,,,-0.025720164609053273,1620,640,979,1,-41.6666666666663,39.50617283950617
LQD,-0.027347072663816568,,,,,,,-0.027347072663816568,736,283,453,0,-20.127445480568994,38.45108695652174
AMC.WA,-0.02786294166347685,,,,,,,-0.02786294166347685,816,317,499,0,-22.736160397397107,38.84803921568628
ERB.WA,-0.02853084836560458,,,,,,,-0.02853084836560458,503,197,306,0,-14.351016727899102,39.165009940357855
MAB.WA,-0.028995605505431024,,,,,,,-0.028995605505431024,438,172,266,0,-12.700075211378788,39.26940639269406
NIB,-0.031086433274261534,,,,,,,-0.031086433274261534,797,318,479,0,-24.77588731958644,39.89962358845671
SHOP,-0.03320590854165488,,,,,,,-0.03320590854165488,322,125,197,0,-10.692302550412872,38.81987577639752
MRC.WA,-0.03430035411745314,,,,,,,-0.03430035411745314,307,117,190,0,-10.530208714058116,38.11074918566775
BZ=F,-0.03634864127203973,,,,,,,-0.03634864127203973,446,169,277,0,-16.21149400732972,37.89237668161435
EWG,-0.03655934979283593,,,,,,,-0.03655934979283593,1589,622,967,0,-58.09280682081629,39.14411579609817
STP.WA,-0.036803271838885515,,,,,,,-0.036803271838885515,817,315,502,0,-30.068273092369466,38.555691554467565
CC=F,-0.03839068648973966,,,,,,,-0.03839068648973966,1108,435,665,8,-42.53688063063154,39.25992779783393
AGG,-0.03921408042513975,,,,,,,-0.03921408042513975,701,263,438,0,-27.489070378022966,37.51783166904422
LULU,-0.04088852986206552,,,,,,,-0.04088852986206552,531,205,326,0,-21.711809356756792,38.60640301318267
ENG.WA,-0.04411567585879419,,,,,,,-0.04411567585879419,321,124,197,0,-14.161131950672935,38.62928348909657
VTI,-0.04441677044416765,,,,,,,-0.04441677044416765,803,307,495,1,-35.66666666666662,38.23163138231631
SAP.DE,-0.04712508727850733,,,,,,,-0.04712508727850733,800,308,492,0,-37.700069822805865,38.5
^STOXX50E,-0.049087083942905875,,,,,,,-0.049087083942905875,568,217,351,0,-27.881463679570537,38.20422535211267
XOM,-0.059350395944155185,,,,,,,-0.059350395944155185,919,348,571,0,-54.543013872678614,37.867247007616974
KTY.WA,-0.0604551314797246,,,,,,,-0.0604551314797246,772,295,477,0,-46.671361502347395,38.212435233160626
WOOD,-0.06260771956706053,,,,,,,-0.06260771956706053,810,308,502,0,-50.71225284931903,38.02469135802469
SB=F,-0.07505084483229202,,,,,,,-0.07505084483229202,674,251,423,0,-50.58426941696482,37.24035608308605
BHW.WA,-0.07526881720430101,,,,,,,-0.07526881720430101,713,267,445,1,-53.666666666666615,37.447405329593266
PGE.WA,-0.07643797965226454,,,,,,,-0.07643797965226454,370,137,233,0,-28.28205247133788,37.027027027027025
ACP.WA,-0.08073606161844624,,,,,,,-0.08073606161844624,708,262,446,0,-57.16113162585994,37.005649717514125
JO,-0.08954124831339905,,,,,,,-0.08954124831339905,257,95,162,0,-23.012100816543555,36.964980544747085
IEF,-0.09966042932847372,,,,,,,-0.09966042932847372,895,321,574,0,-89.19608424898398,35.865921787709496
XLU,-0.11077905151994101,,,,,,,-0.11077905151994101,632,226,406,0,-70.01236056060272,35.75949367088608
TXT.WA,-0.11432865607882475,,,,,,,-0.11432865607882475,307,110,197,0,-35.0988974161992,35.83061889250814
PL=F,-498.24770487936945,,,,,,,-498.24770487936945,3311,1270,1499,542,-1649698.1508555922,38.356991845363936
