instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
UGA,0.019321103003349747,776,320,456,0,14.993175930599405,41.23711340206185,0.18220793140407646,311,148,162,0,56.66666666666778,47.58842443729904
HYG,-0.004690454871882074,585,226,359,0,-2.7439161000510133,38.63247863247864,0.18184044358990464,91,42,49,0,16.547480366681324,46.15384615384615
XOM,-0.059350395944155185,919,348,571,0,-54.543013872678614,37.867247007616974,0.17860564213697327,100,47,53,0,17.860564213697327,47.0
RIO,0.02196598054911501,2141,898,1243,0,47.02916435565523,41.94301728164409,0.1709909992299755,142,65,77,0,24.28072189065652,45.774647887323944
MFO.WA,0.004368924262189476,398,165,233,0,1.7388318563514114,41.45728643216081,0.16843922534488562,250,122,128,0,42.1098063362214,48.8
SHY,0.035407840042690764,612,237,375,0,21.66959810612675,38.72549019607843,0.15045981963613436,68,29,39,0,10.231267735257136,42.64705882352941
DBA,0.005351806254262811,699,283,416,0,3.740912571729705,40.486409155937054,0.14188329830643107,137,61,76,0,19.438011867981057,44.52554744525548
ALR.WA,0.04011544027274299,326,134,192,0,13.077633528914214,41.104294478527606,0.14040919751964048,92,42,50,0,12.917646171806924,45.65217391304348
EFA,0.016382200648461156,1133,462,671,0,18.56103333470649,40.77669902912621,0.13863921121177633,137,61,76,0,18.993571936013357,44.52554744525548
LULU,-0.04088852986206552,531,205,326,0,-21.711809356756792,38.60640301318267,0.12889258969508663,103,46,57,0,13.275936738593922,44.66019417475729
DOGE-USD,0.2329351842537008,78,38,40,0,18.168944371788662,48.717948717948715,0.12476828800180054,93,41,52,0,11.60345078416745,44.086021505376344
EWJ,0.03817271589486853,1598,674,923,1,60.999999999999915,42.17772215269087,0.1213339580465993,144,65,79,1,17.4720899587103,45.13888888888889
USO,0.022140536137096756,665,274,391,0,14.723456531169344,41.203007518796994,0.12086368663451076,136,62,74,0,16.437461382293463,45.588235294117645
